OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-31740,2024-065N,2026-01-27T16:12:20.107008,15.30191702,.0000618,53.1590,114.0542,96.4360,263.6711,0,U,59433,999,10262,.12691E-4,.17E-6,0
STARLINK-31580,2024-065P,2026-01-27T14:50:26.991744,15.30185133,.0001008,53.1593,114.4087,97.6419,262.4696,0,U,59434,999,10261,-.34268E-4,-.1373E-4,0
STARLINK-31696,2024-065Q,2026-01-27T14:58:47.641728,15.30191556,.000119,53.1595,112.3128,48.3768,311.7335,0,U,59435,999,10264,.13764E-4,.48E-6,0
STARLINK-31700,2024-065R,2026-01-27T14:49:40.270944,15.30195098,.0000528,53.1581,112.2698,104.0015,256.1044,0,U,59436,999,10264,.51711E-4,.1173E-4,0
STARLINK-31706,2024-065S,2026-01-27T16:13:50.011392,15.30206467,.0000579,53.1559,114.0669,102.0920,258.0146,0,U,59437,999,10262,-.15961E-3,-.5084E-4,0
STARLINK-31711,2024-065T,2026-01-27T14:54:14.120064,15.30196946,.0001113,53.1603,112.2901,58.0404,302.0705,0,U,59438,999,10264,.17402E-3,.4798E-4,0
STARLINK-31708,2024-065U,2026-01-27T11:32:26.803392,15.30195601,.00008411,53.1588,112.8352,112.0056,248.1034,0,U,59439,999,10262,.65031988E-4,.1567E-4,0
STARLINK-31693,2024-065W,2026-01-27T15:17:02.132736,15.30186665,.0001095,53.1593,112.3857,77.5056,282.6067,0,U,59441,999,10264,-.26517E-4,-.1144E-4,0
STARLINK-31622,2024-068B,2026-01-27T17:08:51.680256,15.27576191,.0001221,43.0017,266.1387,272.8839,87.1872,0,U,59456,999,10225,.80732E-4,.196E-4,0
STARLINK-31319,2024-068C,2026-01-27T16:34:25.454496,15.27562449,.0000797,42.9992,262.4959,244.1986,115.8783,0,U,59457,999,10229,.55857E-5,-.108E-5,0
STARLINK-31625,2024-068D,2026-01-27T16:54:03.774240,15.27578153,.0000842,43.0003,266.0589,275.6220,84.4535,0,U,59458,999,10225,.61701E-4,.1436E-4,0
